Alabama,, Average Temperature,
201310,Alabama,64.9,-0.3
201311,Alabama,51.6,-1.9
201312,Alabama,47.9,-1.4
201401,Alabama,37.3,-7.6
201402,Alabama,47.3,-2.5
201403,Alabama,52.3,-3.9
201404,Alabama,62.4,-1.5
201405,Alabama,70.2,-1.4
201406,Alabama,77.9,-0.7
201407,Alabama,77.8,-2.9
201408,Alabama,79.5,-0.5
201409,Alabama,76.3,0.4
201410,Alabama,65.2,0
201411,Alabama,48.2,-5.3
201412,Alabama,50,0.7
201501,Alabama,43.6,-1.3
201502,Alabama,41.3,-8.5
201503,Alabama,57.8,1.6
201504,Alabama,66,2.1
201505,Alabama,71.8,0.2
201506,Alabama,78.8,0.2
201507,Alabama,81.6,0.9
201508,Alabama,79,-1
201509,Alabama,74.4,-1.5
201510,Alabama,65,-0.2
201511,Alabama,59.2,5.7
201512,Alabama,56.9,7.6
201601,Alabama,43,-1.9
201602,Alabama,49.8,0
201603,Alabama,59.7,3.5
201604,Alabama,63.6,-0.3
201605,Alabama,70.2,-1.4
201606,Alabama,79.2,0.6
201607,Alabama,82,1.3
201608,Alabama,81.6,1.6
201609,Alabama,78.6,2.7
201610,Alabama,68.5,3.3
201611,Alabama,57.8,4.3
201612,Alabama,50.1,0.8
201701,Alabama,52.4,7.5
201702,Alabama,55.6,5.8
201703,Alabama,58.4,2.2
201704,Alabama,67.2,3.3
201705,Alabama,69.9,-1.7
201706,Alabama,75.8,-2.8
201707,Alabama,80.6,-0.1
201708,Alabama,78.8,-1.2
201709,Alabama,73.4,-2.5
201710,Alabama,65.8,0.6
201711,Alabama,55.6,2.1
201712,Alabama,46.9,-2.4
201801,Alabama,40.4,-4.5
201802,Alabama,58,8.2
201803,Alabama,55.4,-0.8
201804,Alabama,59.5,-4.4
201805,Alabama,74.4,2.8
201806,Alabama,79.3,0.7
201807,Alabama,80.7,0
201808,Alabama,79.5,-0.5
201809,Alabama,79.4,3.5
201810,Alabama,67.4,2.2
201811,Alabama,50.4,-3.1
201812,Alabama,49,-0.3
201901,Alabama,46.5,1.6
201902,Alabama,56.1,6.3
201903,Alabama,55,-1.2
201904,Alabama,63.5,-0.4
201905,Alabama,74.2,2.6
201906,Alabama,78.1,-0.5
201907,Alabama,80.6,-0.1
201908,Alabama,80.6,0.6
201909,Alabama,80.2,4.3
201910,Alabama,67.8,2.6
201911,Alabama,50.6,-2.9
201912,Alabama,51.3,2
202001,Alabama,49.8,4.9
200001,Alaska,0.7,-4.8
200002,Alaska,16.2,5.5
200003,Alaska,17.2,3.7
200004,Alaska,24.5,-2.3
200005,Alaska,35.4,-5.4
200006,Alaska,51.2,0.1
200007,Alaska,51.8,-2.6
200008,Alaska,47.4,-3.4
200009,Alaska,38.6,-3.4
200010,Alaska,24.8,-5
200011,Alaska,18.2,3.6
200012,Alaska,14.5,6.7
200101,Alaska,15.7,10.2
200102,Alaska,14.7,4
200103,Alaska,12,-1.5
200104,Alaska,25.1,-1.7
200105,Alaska,32.7,-8.1
200106,Alaska,50.8,-0.3
200107,Alaska,52.1,-2.3
200108,Alaska,50.4,-0.4
200109,Alaska,42.4,0.4
200110,Alaska,21.8,-8
200111,Alaska,9.7,-4.9
200112,Alaska,0.6,-7.2
200201,Alaska,9.5,4
200202,Alaska,8.7,-2
200203,Alaska,15.4,1.9
200204,Alaska,21.5,-5.3
200205,Alaska,41.1,0.3
200206,Alaska,50,-1.1
200207,Alaska,53.4,-1
200208,Alaska,49.2,-1.6
200209,Alaska,42.7,0.7
200210,Alaska,31.8,2
200211,Alaska,24.1,9.5
200212,Alaska,13.6,5.8
200301,Alaska,10.2,4.7
200302,Alaska,16.5,5.8
200303,Alaska,11,-2.5
200304,Alaska,27.8,1
200305,Alaska,38.4,-2.4
200306,Alaska,51.2,0.1
200307,Alaska,53.5,-0.9
200308,Alaska,50.6,-0.2
200309,Alaska,39,-3
200310,Alaska,31.7,1.9
200311,Alaska,14.8,0.2
200312,Alaska,4.6,-3.2
200401,Alaska,-0.4,-5.9
200402,Alaska,10.1,-0.6
200403,Alaska,10,-3.5
200404,Alaska,28.7,1.9
200405,Alaska,43.2,2.4
200406,Alaska,55.1,4
200407,Alaska,57.3,2.9
200408,Alaska,55.3,4.5
200409,Alaska,37.4,-4.6
200410,Alaska,29.5,-0.3
200411,Alaska,16.9,2.3
200412,Alaska,8.8,1
200501,Alaska,6.7,1.2
200502,Alaska,8,-2.7
200503,Alaska,18.5,5
200504,Alaska,24.5,-2.3
200505,Alaska,43.7,2.9
200506,Alaska,52.5,1.4
200507,Alaska,54.4,0
200508,Alaska,52.6,1.8
200509,Alaska,42.9,0.9
200510,Alaska,27.4,-2.4
200511,Alaska,5.1,-9.5
200512,Alaska,13.9,6.1
200601,Alaska,-4.7,-10.2
200602,Alaska,12.4,1.7
200603,Alaska,7.7,-5.8
200604,Alaska,20.8,-6
200605,Alaska,40,-0.8
200606,Alaska,49.1,-2
200607,Alaska,53,-1.4
200608,Alaska,48.3,-2.5
200609,Alaska,44.3,2.3
200610,Alaska,31.6,1.8
200611,Alaska,6.2,-8.4
200612,Alaska,8.1,0.3
200701,Alaska,5.5,0
200702,Alaska,6.1,-4.6
200703,Alaska,-0.2,-13.7
200704,Alaska,29.9,3.1
200705,Alaska,39.4,-1.4
200706,Alaska,51,-0.1
200707,Alaska,55.5,1.1
200708,Alaska,53.2,2.4
200709,Alaska,43.5,1.5
200710,Alaska,25.3,-4.5
200711,Alaska,19.8,5.2
200712,Alaska,8,0.2
200801,Alaska,0.4,-5.1
200802,Alaska,1.7,-9
200803,Alaska,12.6,-0.9
200804,Alaska,23,-3.8
200805,Alaska,39.1,-1.7
200806,Alaska,48.8,-2.3
200807,Alaska,51.2,-3.2
200808,Alaska,48.4,-2.4
200809,Alaska,41.2,-0.8
200810,Alaska,18.9,-10.9
200811,Alaska,9.6,-5
200812,Alaska,6,-1.8
200901,Alaska,-0.2,-5.7
200902,Alaska,5.1,-5.6
200903,Alaska,7.1,-6.4
200904,Alaska,24.1,-2.7
200905,Alaska,40.4,-0.4
200906,Alaska,49.8,-1.3
200907,Alaska,56.1,1.7
200908,Alaska,49,-1.8
200909,Alaska,41.6,-0.4
200910,Alaska,30.5,0.7
200911,Alaska,7.4,-7.2
200912,Alaska,10.2,2.4
201001,Alaska,1.5,-4
201002,Alaska,10.8,0.1
201003,Alaska,9.8,-3.7
201004,Alaska,26.9,0.1
201005,Alaska,41.3,0.5
201006,Alaska,49.5,-1.6
201007,Alaska,52.1,-2.3
201008,Alaska,51.5,0.7
201009,Alaska,42.8,0.8
201010,Alaska,27.6,-2.2
201011,Alaska,17.7,3.1
201012,Alaska,-2.4,-10.2
201101,Alaska,7,1.5
201102,Alaska,6,-4.7
201103,Alaska,11.9,-1.6
201104,Alaska,23.2,-3.6
201105,Alaska,40.5,-0.3
201106,Alaska,49.8,-1.3
201107,Alaska,52.1,-2.3
201108,Alaska,49,-1.8
201109,Alaska,42.4,0.4
201110,Alaska,28.5,-1.3
201111,Alaska,3.6,-11
201112,Alaska,9.4,1.6
201201,Alaska,-12.8,-18.3
201202,Alaska,12.1,1.4
201203,Alaska,4.3,-9.2
201204,Alaska,27.3,0.5
201205,Alaska,37.2,-3.6
201206,Alaska,50.4,-0.7
201207,Alaska,52,-2.4
201208,Alaska,49.9,-0.9
201209,Alaska,40.6,-1.4
201210,Alaska,25.5,-4.3
201211,Alaska,6,-8.6
201212,Alaska,-0.8,-8.6
201301,Alaska,9.8,4.3
201302,Alaska,6.3,-4.4
201303,Alaska,11,-2.5
201304,Alaska,16.7,-10.1
201305,Alaska,35.2,-5.6
201306,Alaska,53.9,2.8
201307,Alaska,55,0.6
201308,Alaska,51.4,0.6
201309,Alaska,39.6,-2.4
201310,Alaska,34,4.2
201311,Alaska,13.7,-0.9
201312,Alaska,7,-0.8
201401,Alaska,18.4,12.9
201402,Alaska,6.7,-4
201403,Alaska,14.1,0.6
201404,Alaska,27.4,0.6
201405,Alaska,41.9,1.1
201406,Alaska,48.1,-3
201407,Alaska,52.7,-1.7
201408,Alaska,52,1.2
201409,Alaska,42.3,0.3
201410,Alaska,25.8,-4
201411,Alaska,19.6,5
201412,Alaska,15,7.2
201501,Alaska,7.1,1.6
201502,Alaska,12.6,1.9
201503,Alaska,15.9,2.4
201504,Alaska,28.2,1.4
201505,Alaska,44.8,4
201506,Alaska,52.3,1.2
201507,Alaska,54.2,-0.2
201508,Alaska,49.3,-1.5
201509,Alaska,38.9,-3.1
201510,Alaska,31.6,1.8
201511,Alaska,17.2,2.6
201512,Alaska,8.3,0.5
201601,Alaska,17.2,11.7
201602,Alaska,17.3,6.6
201603,Alaska,18.7,5.2
201604,Alaska,33.3,6.5
201605,Alaska,44,3.2
201606,Alaska,51.8,0.7
201607,Alaska,55.6,1.2
201608,Alaska,53.2,2.4
201609,Alaska,42.3,0.3
201610,Alaska,29.7,-0.1
201611,Alaska,13.3,-1.3
201612,Alaska,6.2,-1.6
201701,Alaska,4.5,-1
201702,Alaska,6.6,-4.1
201703,Alaska,4.9,-8.6
201704,Alaska,29.6,2.8
201705,Alaska,40.8,0
201706,Alaska,51.4,0.3
201707,Alaska,56.2,1.8
201708,Alaska,50.2,-0.6
201709,Alaska,42.6,0.6
201710,Alaska,30.2,0.4
201711,Alaska,15.8,1.2
201712,Alaska,19.1,11.3
201801,Alaska,6.7,1.2
201802,Alaska,12.6,1.9
201803,Alaska,18,4.5
201804,Alaska,26.8,0
201805,Alaska,39.4,-1.4
201806,Alaska,50,-1.1
201807,Alaska,55.6,1.2
201808,Alaska,49.6,-1.2
201809,Alaska,44.3,2.3
201810,Alaska,33.8,4
201811,Alaska,19.1,4.5
201812,Alaska,9.1,1.3
201901,Alaska,7.5,2
201902,Alaska,15.5,4.8
201903,Alaska,26.5,13
201904,Alaska,28.5,1.7
201905,Alaska,43,2.2
201906,Alaska,54,2.9
201907,Alaska,58.1,3.7
201908,Alaska,51.5,0.7
201909,Alaska,44.4,2.4
201910,Alaska,30.8,1
201911,Alaska,19.8,5.2
201912,Alaska,6.7,-1.1
202001,Alaska,-6.3,-11.8
200001,Arizona,45.8,2.4
200002,Arizona,48.4,2.1
200003,Arizona,50.5,-3
200004,Arizona,61.9,2.5
200005,Arizona,71.2,5.9
200006,Arizona,77.8,-0.2
200007,Arizona,81.5,0.3
200008,Arizona,79.4,-0.2
200009,Arizona,74.9,1
200010,Arizona,60.2,-2.7
200011,Arizona,43.8,-7.7
200012,Arizona,44.7,1.5
200101,Arizona,40.3,-3.1
200102,Arizona,44.2,-2.1
200103,Arizona,51.8,-1.7
200104,Arizona,57.5,-1.9
200105,Arizona,70.8,5.5
200106,Arizona,77.5,-0.5
200107,Arizona,79.8,-1.4
200108,Arizona,79.1,-0.5
200109,Arizona,75.6,1.7
200110,Arizona,64.7,1.8
200111,Arizona,52.9,1.4
200112,Arizona,40.2,-3
200201,Arizona,42.3,-1.1
200202,Arizona,46.2,-0.1
200203,Arizona,49.8,-3.7
200204,Arizona,62,2.6
200205,Arizona,67,1.7
200206,Arizona,78.8,0.8
200207,Arizona,82.3,1.1
200208,Arizona,79.8,0.2
200209,Arizona,73.6,-0.3
200210,Arizona,60,-2.9
200211,Arizona,51.3,-0.2
200212,Arizona,41,-2.2
200301,Arizona,48.8,5.4
200302,Arizona,45.5,-0.8
200303,Arizona,50.6,-2.9
200304,Arizona,55.6,-3.8
200305,Arizona,68.3,3
200306,Arizona,76.3,-1.7
200307,Arizona,83.8,2.6
200308,Arizona,80,0.4
200309,Arizona,74.8,0.9
200310,Arizona,67.3,4.4
200311,Arizona,48.8,-2.7
200312,Arizona,43,-0.2
200401,Arizona,42.8,-0.6
200402,Arizona,42.1,-4.2
200403,Arizona,58.1,4.6
200404,Arizona,57.9,-1.5
200405,Arizona,68.4,3.1
200406,Arizona,75.9,-2.1
200407,Arizona,80.1,-1.1
200408,Arizona,77.7,-1.9
200409,Arizona,71.8,-2.1
200410,Arizona,60,-2.9
200411,Arizona,47.3,-4.2
200412,Arizona,42.8,-0.4
200501,Arizona,45.1,1.7
200502,Arizona,46.2,-0.1
200503,Arizona,49.9,-3.6
200504,Arizona,57.2,-2.2
200505,Arizona,67.9,2.6
200506,Arizona,74.4,-3.6
200507,Arizona,82.7,1.5
200508,Arizona,77.5,-2.1
200509,Arizona,73.4,-0.5
200510,Arizona,62.8,-0.1
200511,Arizona,52.6,1.1
200512,Arizona,43.9,0.7
200601,Arizona,44.1,0.7
200602,Arizona,47.8,1.5
200603,Arizona,48.3,-5.2
200604,Arizona,59,-0.4
200605,Arizona,70,4.7
200606,Arizona,79.5,1.5
200607,Arizona,82.3,1.1
200608,Arizona,77.9,-1.7
200609,Arizona,69.8,-4.1
200610,Arizona,60.2,-2.7
200611,Arizona,52.8,1.3
200612,Arizona,41.8,-1.4
200701,Arizona,39,-4.4
200702,Arizona,46.7,0.4
200703,Arizona,54.5,1
200704,Arizona,59.3,-0.1
200705,Arizona,68.4,3.1
200706,Arizona,77.3,-0.7
200707,Arizona,82,0.8
200708,Arizona,80.5,0.9
200709,Arizona,73.8,-0.1
200710,Arizona,62.4,-0.5
200711,Arizona,55.3,3.8
200712,Arizona,39.9,-3.3
200801,Arizona,39.8,-3.6
200802,Arizona,45,-1.3
200803,Arizona,51.8,-1.7
200804,Arizona,58,-1.4
200805,Arizona,63.6,-1.7
200806,Arizona,77.3,-0.7
200807,Arizona,80.4,-0.8
200808,Arizona,79.3,-0.3
200809,Arizona,73.6,-0.3
200810,Arizona,62.9,0
200811,Arizona,53.3,1.8
200812,Arizona,42.4,-0.8
200901,Arizona,45.2,1.8
200902,Arizona,46.6,0.3
200903,Arizona,52.5,-1
200904,Arizona,57,-2.4
200905,Arizona,70.8,5.5
200906,Arizona,73,-5
200907,Arizona,82.8,1.6
200908,Arizona,79.7,0.1
200909,Arizona,74.1,0.2
200910,Arizona,59.4,-3.5
200911,Arizona,52.9,1.4
200912,Arizona,39,-4.2
201001,Arizona,42.2,-1.2
201002,Arizona,44.3,-2
201003,Arizona,49.2,-4.3
201004,Arizona,56.1,-3.3
201005,Arizona,63.1,-2.2
201006,Arizona,75.9,-2.1
201007,Arizona,81.8,0.6
201008,Arizona,79,-0.6
201009,Arizona,75.4,1.5
201010,Arizona,62.7,-0.2
201011,Arizona,48.3,-3.2
201012,Arizona,46.7,3.5
201101,Arizona,41.5,-1.9
201102,Arizona,41.7,-4.6
201103,Arizona,53.3,-0.2
201104,Arizona,58.9,-0.5
201105,Arizona,63.2,-2.1
201106,Arizona,75.7,-2.3
201107,Arizona,80.8,-0.4
201108,Arizona,82.2,2.6
201109,Arizona,74.6,0.7
201110,Arizona,62.8,-0.1
201111,Arizona,49.4,-2.1
201112,Arizona,39.9,-3.3
201201,Arizona,45.3,1.9
201202,Arizona,45.6,-0.7
201203,Arizona,51.6,-1.9
201204,Arizona,60.6,1.2
201205,Arizona,69.3,4
201206,Arizona,78.7,0.7
201207,Arizona,80,-1.2
201208,Arizona,80.5,0.9
201209,Arizona,73.7,-0.2
201210,Arizona,63.8,0.9
201211,Arizona,53.8,2.3
201212,Arizona,42.4,-0.8
201301,Arizona,38.6,-4.8
201302,Arizona,42.2,-4.1
201303,Arizona,54.8,1.3
201304,Arizona,59.4,0
201305,Arizona,67.4,2.1
201306,Arizona,79.5,1.5
201307,Arizona,81,-0.2
201308,Arizona,78.5,-1.1
201309,Arizona,72.4,-1.5
201310,Arizona,58.8,-4.1
201311,Arizona,51.3,-0.2
201312,Arizona,41.5,-1.7
201401,Arizona,46.5,3.1
201402,Arizona,50,3.7
201403,Arizona,53.9,0.4
201404,Arizona,59.1,-0.3
201405,Arizona,66.8,1.5
201406,Arizona,77.7,-0.3
201407,Arizona,81.4,0.2
201408,Arizona,76.5,-3.1
201409,Arizona,74.2,0.3
201410,Arizona,64.9,2
201411,Arizona,51.7,0.2
201412,Arizona,44.3,1.1
201501,Arizona,45.1,1.7
201502,Arizona,52,5.7
201503,Arizona,56.3,2.8
201504,Arizona,58.4,-1
201505,Arizona,62.9,-2.4
201506,Arizona,78.4,0.4
201507,Arizona,78.6,-2.6
201508,Arizona,80.6,1
201509,Arizona,75,1.1
201510,Arizona,64.5,1.6
201511,Arizona,48.3,-3.2
201512,Arizona,40.9,-2.3
201601,Arizona,41.8,-1.6
201602,Arizona,50.6,4.3
201603,Arizona,54.9,1.4
201604,Arizona,58.5,-0.9
201605,Arizona,64.6,-0.7
201606,Arizona,80.3,2.3
201607,Arizona,82.4,1.2
201608,Arizona,77.5,-2.1
201609,Arizona,71.6,-2.3
201610,Arizona,66.1,3.2
201611,Arizona,53.1,1.6
201612,Arizona,44.7,1.5
201701,Arizona,42.3,-1.1
201702,Arizona,49.4,3.1
201703,Arizona,56.6,3.1
201704,Arizona,59.9,0.5
201705,Arizona,66.1,0.8
201706,Arizona,79.8,1.8
201707,Arizona,81.5,0.3
201708,Arizona,79.1,-0.5
201709,Arizona,72.4,-1.5
201710,Arizona,65.1,2.2
201711,Arizona,57.6,6.1
201712,Arizona,46.6,3.4
201801,Arizona,47.6,4.2
201802,Arizona,46.7,0.4
201803,Arizona,52.3,-1.2
201804,Arizona,62.9,3.5
201805,Arizona,68.5,3.2
201806,Arizona,78.6,0.6
201807,Arizona,82.3,1.1
201808,Arizona,80.2,0.6
201809,Arizona,76,2.1
201810,Arizona,59.9,-3
201811,Arizona,49.4,-2.1
201812,Arizona,42.8,-0.4
201901,Arizona,42.4,-1
201902,Arizona,40.9,-5.4
201903,Arizona,51.7,-1.8
201904,Arizona,60.3,0.9
201905,Arizona,60.7,-4.6
201906,Arizona,75.2,-2.8
201907,Arizona,81.9,0.7
201908,Arizona,81.9,2.3
201909,Arizona,73.8,-0.1
201910,Arizona,60,-2.9
201911,Arizona,52.1,0.6
201912,Arizona,42.2,-1
202001,Arizona,43.8,0.4
200001,Arkansas,41.8,1.8
200002,Arkansas,49.1,5.4
200003,Arkansas,54.8,2.6
200004,Arkansas,59.2,-2.3
200005,Arkansas,70.8,1.1
200006,Arkansas,75.1,-3.2
200007,Arkansas,80.1,-0.9
200008,Arkansas,83.8,4
200009,Arkansas,73.7,-0.8
200010,Arkansas,63.9,1.4
200011,Arkansas,46.8,-3.6
200012,Arkansas,31.6,-12.1
200101,Arkansas,37,-3
200102,Arkansas,45.5,1.8
200103,Arkansas,47.9,-4.3
200104,Arkansas,65.4,3.9
200105,Arkansas,70,0.3
200106,Arkansas,75.5,-2.8
200107,Arkansas,82,1
200108,Arkansas,80.8,1
200109,Arkansas,70.9,-3.6
200110,Arkansas,59.5,-3
200111,Arkansas,55,4.6
200112,Arkansas,45.2,1.5
200201,Arkansas,42.5,2.5
200202,Arkansas,42.3,-1.4
200203,Arkansas,47.9,-4.3
200204,Arkansas,63.6,2.1
200205,Arkansas,67,-2.7
200206,Arkansas,76.6,-1.7
200207,Arkansas,80.6,-0.4
200208,Arkansas,79.9,0.1
200209,Arkansas,75.2,0.7
200210,Arkansas,60.5,-2
200211,Arkansas,48.2,-2.2
200212,Arkansas,42.7,-1
200301,Arkansas,36.8,-3.2
200302,Arkansas,40.1,-3.6
200303,Arkansas,51.2,-1
200304,Arkansas,61.7,0.2
200305,Arkansas,69.6,-0.1
200306,Arkansas,73.1,-5.2
200307,Arkansas,80,-1
200308,Arkansas,80.8,1
200309,Arkansas,70.2,-4.3
200310,Arkansas,62.8,0.3
200311,Arkansas,54.6,4.2
200312,Arkansas,42.3,-1.4
200401,Arkansas,41,1
200402,Arkansas,40.6,-3.1
200403,Arkansas,55.9,3.7
200404,Arkansas,60.8,-0.7
200405,Arkansas,70.7,1
200406,Arkansas,75.8,-2.5
200407,Arkansas,77.8,-3.2
200408,Arkansas,75.3,-4.5
200409,Arkansas,73,-1.5
200410,Arkansas,65.8,3.3
200411,Arkansas,54.1,3.7
200412,Arkansas,41.5,-2.2
200501,Arkansas,44.7,4.7
200502,Arkansas,47.5,3.8
200503,Arkansas,50.4,-1.8
200504,Arkansas,60.9,-0.6
200505,Arkansas,67.4,-2.3
200506,Arkansas,77.5,-0.8
200507,Arkansas,80.2,-0.8
200508,Arkansas,82.2,2.4
200509,Arkansas,77,2.5
200510,Arkansas,61.7,-0.8
200511,Arkansas,54,3.6
200512,Arkansas,40,-3.7
200601,Arkansas,47.5,7.5
200602,Arkansas,40.8,-2.9
200603,Arkansas,53.4,1.2
200604,Arkansas,66.5,5
200605,Arkansas,69.9,0.2
200606,Arkansas,76.3,-2
200607,Arkansas,81.2,0.2
200608,Arkansas,82.1,2.3
200609,Arkansas,69.7,-4.8
200610,Arkansas,60.1,-2.4
200611,Arkansas,51.5,1.1
200612,Arkansas,44.9,1.2
200701,Arkansas,39.9,-0.1
200702,Arkansas,40.9,-2.8
200703,Arkansas,59.5,7.3
200704,Arkansas,57.4,-4.1
200705,Arkansas,71,1.3
200706,Arkansas,77.1,-1.2
200707,Arkansas,77.6,-3.4
200708,Arkansas,83.7,3.9
200709,Arkansas,74.1,-0.4
200710,Arkansas,64,1.5
200711,Arkansas,52.5,2.1
200712,Arkansas,44,0.3
200801,Arkansas,39,-1
200802,Arkansas,43.6,-0.1
200803,Arkansas,51.9,-0.3
200804,Arkansas,58.8,-2.7
200805,Arkansas,68.1,-1.6
200806,Arkansas,77.7,-0.6
200807,Arkansas,80.5,-0.5
200808,Arkansas,77.7,-2.1
200809,Arkansas,71.1,-3.4
200810,Arkansas,60,-2.5
200811,Arkansas,48.9,-1.5
200812,Arkansas,41,-2.7
200901,Arkansas,38.4,-1.6
200902,Arkansas,47.3,3.6
200903,Arkansas,52.7,0.5
200904,Arkansas,59.6,-1.9
200905,Arkansas,67.5,-2.2
200906,Arkansas,78.8,0.5
200907,Arkansas,77.8,-3.2
200908,Arkansas,76.6,-3.2
200909,Arkansas,71.3,-3.2
200910,Arkansas,57,-5.5
200911,Arkansas,54,3.6
200912,Arkansas,38.1,-5.6
201001,Arkansas,36.5,-3.5
201002,Arkansas,36.5,-7.2
201003,Arkansas,50.5,-1.7
201004,Arkansas,63.4,1.9
201005,Arkansas,71.3,1.6
201006,Arkansas,81.6,3.3
201007,Arkansas,82,1
201008,Arkansas,83.9,4.1
201009,Arkansas,74.8,0.3
201010,Arkansas,62.7,0.2
201011,Arkansas,52,1.6
201012,Arkansas,38.9,-4.8
201101,Arkansas,37.6,-2.4
